"","Number","Name","Position","Birth date","Birth Country","Bats","Throws","Team","position_group","age"
"22","6","Roberto Castro","OF","2000-08-10","Mexico","L","R","Bravos de Leon","Outfield",25
"23","91","Rogelio Martinez","P","1991-09-22","Mexico","R","R","Bravos de Leon","Pitchers",34
"24","53","Sandber Pimentel","1B","1994-09-12","Dominican Republic","L","L","Bravos de Leon","Infield",31
"25","32","Thaddeus Ward","P","1997-01-16","USA","R","R","Bravos de Leon","Pitchers",29
"26","50","Agustin Murillo","3B","1982-05-05","Mexico","R","R","Olmecas de Tabasco","Infield",43
"27","16","Alan Espinoza","C","1991-01-30","Mexico","R","R","Olmecas de Tabasco","Catchers",35
"28","9","Alexandro Tovalin","P","1997-11-25","USA","R","R","Olmecas de Tabasco","Pitchers",28
"29","40","Antonio Almeida","C","2003-12-12","Mexico","R","R","Olmecas de Tabasco","Catchers",22
"30","3","Carlos Arellano","SS","1998-08-18","USA","R","R","Olmecas de Tabasco","Infield",27
"31","33","Carlos Vazquez","P","1991-09-03","Mexico","L","L","Olmecas de Tabasco","Pitchers",34
"32","51","Deivy Grullón","C","1996-02-17","Dominican Republic","R","R","Olmecas de Tabasco","Catchers",30
"33","12","Domingo Leyba","3B","1995-09-11","Dominican Republic","S","R","Olmecas de Tabasco","Infield",30
"34","24","Jacob Rhinesmith","RF","1996-05-23","USA","L","L","Olmecas de Tabasco","Outfield",29
"35","7","Jasson Atondo","3B","1995-08-27","Mexico","R","R","Olmecas de Tabasco","Infield",30
"36","22","Jeremy Rhoades","P","1993-02-12","USA","R","R","Olmecas de Tabasco","Pitchers",33
"37","94","Jimmy Cordero","P","1991-10-19","Dominican Republic","R","R","Olmecas de Tabasco","Pitchers",34
"38","93","Jonathan Cortes","P","2004-07-31","Mexico","R","R","Olmecas de Tabasco","Pitchers",21
"39","55","Jose Samayoa","P","1990-03-09","Mexico","R","R","Olmecas de Tabasco","Pitchers",36
"40","35","Keone Kela","P","1993-04-16","USA","R","R","Olmecas de Tabasco","Pitchers",33
"41","95","Leobaldo Cabrera","OF","1998-01-21","Venezuela","R","R","Olmecas de Tabasco","Outfield",28
"42","85","Luis Cessa","P","1992-04-25","Mexico","R","R","Olmecas de Tabasco","Pitchers",33
"43","13","Marco Hernández","2B","1992-09-06","Dominican Republic","L","R","Olmecas de Tabasco","Infield",33
"44","45","Michael Feliz","P","1993-06-28","Dominican Republic","R","R","Olmecas de Tabasco","Pitchers",32
"45","23","Nolan Blackwood","P","1995-03-16","USA","R","R","Olmecas de Tabasco","Pitchers",31
"46","19","Oddy Nunez","P","1996-12-20","Dominican Republic","L","L","Olmecas de Tabasco","Pitchers",29
"47","20","Ozzie Mendez","P","1988-04-16","Mexico","L","L","Olmecas de Tabasco","Pitchers",38
"48","72","Pedro Garcia","P","1995-03-21","Venezuela","R","R","Olmecas de Tabasco","Pitchers",31
"49","2","Randy Romero","OF","1999-08-10","Mexico","R","R","Olmecas de Tabasco","Outfield",26
"50","28","Seth Beer","1B","1996-09-18","USA","L","R","Olmecas de Tabasco","Infield",29
"51","15","Tyler Danish","P","1994-09-12","USA","R","R","Olmecas de Tabasco","Pitchers",31
"52","62","Tyler Myrick","P","1998-06-25","USA","R","R","Olmecas de Tabasco","Pitchers",27
"53","8","Yamaico Navarro","1B","1987-10-31","Dominican Republic","R","R","Olmecas de Tabasco","Infield",38
"54","52","Yunior Severino","1B","1999-10-03","Dominican Republic","S","R","Olmecas de Tabasco","Infield",26
"55","99","Adrian Tovalin","IF","1996-02-11","USA","R","R","Algodoneros Union Laguna","Infield",30
"56","62","Albert Lara","IF","1998-09-10","Cuba","R","R","Algodoneros Union Laguna","Infield",27
"57","36","Alfonso Rivas III","OF","1996-09-13","USA","L","L","Algodoneros Union Laguna","Outfield",29
"58","38","Brian O'Grady","RF","1992-05-17","USA","L","R","Algodoneros Union Laguna","Outfield",33
"59","90","Cristhofer Lozoya","P","2005-02-09","Mexico","R","R","Algodoneros Union Laguna","Pitchers",21
"60","27","Damon Dues","LF","1998-06-21","USA","L","R","Algodoneros Union Laguna","Outfield",27
"61","5","Dean Nevarez","C","1997-01-04","Mexico","R","R","Algodoneros Union Laguna","Catchers",29
"62","18","Didi Gregorius","SS","1990-02-18","Netherlands","L","R","Algodoneros Union Laguna","Infield",36
"63","64","Diego Castillo","SS","1997-10-28","Venezuela","R","R","Algodoneros Union Laguna","Infield",28
"64","66","Edgar Robles","LF","1996-08-21","Mexico","L","L","Algodoneros Union Laguna","Outfield",29
"65","26","Emmanuel Rivera","3B","1996-06-29","Puerto Rico","R","R","Algodoneros Union Laguna","Infield",29
"66","50","Erasmo Ramírez","P","1990-05-02","Nicaragua","R","R","Algodoneros Union Laguna","Pitchers",35
"67","32","Fabian Cota","P","1992-04-13","Mexico","L","L","Algodoneros Union Laguna","Pitchers",34
"68","12","Hendrik Clementina","C","1997-06-17","Curacao","R","R","Algodoneros Union Laguna","Catchers",28
"69","1","Isan Díaz","2B","1996-05-27","Puerto Rico","L","R","Algodoneros Union Laguna","Infield",29
"70","83","Jesús Reyes","P","1993-02-21","Dominican Republic","R","R","Algodoneros Union Laguna","Pitchers",33
"71","76","José Torres","P","1993-09-24","Venezuela","L","L","Algodoneros Union Laguna","Pitchers",32
"72","70","Joseph Sequera","C","2005-12-12","Mexico","R","R","Algodoneros Union Laguna","Catchers",20
"73","3","Julian Escobedo","CF","1998-06-10","USA","L","L","Algodoneros Union Laguna","Outfield",27
"74","14","Katsunori Hirai","P","1991-12-20","Japan","R","R","Algodoneros Union Laguna","Pitchers",34
"75","98","Lupe Chavez","P","1997-12-03","Mexico","R","R","Algodoneros Union Laguna","Pitchers",28
"76","31","Mason Martin","1B","1999-06-02","USA","L","R","Algodoneros Union Laguna","Infield",26
"77","80","Matt Foster","P","1995-01-27","USA","R","R","Algodoneros Union Laguna","Pitchers",31
"78","40","Miguel Leon","P","2002-12-04","Mexico","R","R","Algodoneros Union Laguna","Pitchers",23
"79","56","Miguel Vazquez","P","1995-11-18","Mexico","R","R","Algodoneros Union Laguna","Pitchers",30
"80","20","Nick Snyder","P","1995-10-10","USA","R","R","Algodoneros Union Laguna","Pitchers",30
"81","46","Omar Araujo","P","1999-02-07","Mexico","R","R","Algodoneros Union Laguna","Pitchers",27
"82","2","Ramon Mora","IF","2000-03-08","Mexico","R","L","Algodoneros Union Laguna","Infield",26
"83","95","Thomas McIlraith","P","1994-02-17","USA","R","R","Algodoneros Union Laguna","Pitchers",32
"84","54","Valentin Hernández","OF","2002-07-04","Mexico","R","R","Algodoneros Union Laguna","Outfield",23
"85","89","Anthony Gose","P","1990-08-10","USA","L","L","Leones de Yucatan","Pitchers",35
"86","32","Carlos Figueroa","CF","1992-04-10","Mexico","S","R","Leones de Yucatan","Outfield",34
"87","51","César Valdez","P","1985-03-17","Dominican Republic","R","R","Leones de Yucatan","Pitchers",41
"88","98","Colten Brewer","P","1992-10-29","USA","R","R","Leones de Yucatan","Pitchers",33
"89","5","Dalton Guthrie","3B","1995-12-23","USA","R","R","Leones de Yucatan","Infield",30
"90","96","Dalton Rodriguez","P","1996-08-20","Mexico","R","R","Leones de Yucatan","Pitchers",29
"91","67","Derek West","P","1996-12-02","USA","R","R","Leones de Yucatan","Pitchers",29
"92","47","Edwin Escobar","P","1992-04-22","Venezuela","L","L","Leones de Yucatan","Pitchers",33
"93","43","Edwin Rios","1B","1994-04-21","Puerto Rico","L","R","Leones de Yucatan","Infield",31
"94","39","Erik González","SS","1991-08-31","Dominican Republic","R","R","Leones de Yucatan","Infield",34
"95","27","Estevan Florial","LF","1997-11-25","Dominican Republic","L","R","Leones de Yucatan","Outfield",28
"96","78","Fabian Urbina","C","2001-10-25","Mexico","L","R","Leones de Yucatan","Catchers",24
"97","91","Hector Perez","P","1996-06-06","Dominican Republic","R","R","Leones de Yucatan","Pitchers",29
"98","14","Henry Ramos","OF","1992-04-15","Puerto Rico","S","R","Leones de Yucatan","Outfield",34
"99","79","Ichiro Rodriguez","IF","2006-06-21","Mexico","S","R","Leones de Yucatan","Infield",19
"100","99","Irving Vazquez","P","2003-07-13","Mexico","R","R","Leones de Yucatan","Pitchers",22
"101","55","Jafet Ojeda","C","2004-02-29","Mexico","R","R","Leones de Yucatan","Catchers",22
"102","48","Jake Sanchez","P","1989-08-19","USA","R","R","Leones de Yucatan","Pitchers",36
"103","20","Jared Wetherbee","P","1998-08-14","USA","L","L","Leones de Yucatan","Pitchers",27
"104","44","Jose Gaitan","OF","1998-02-23","Mexico","R","R","Leones de Yucatan","Outfield",28
"105","77","Marco Jaime","2B","1996-07-07","USA","S","R","Leones de Yucatan","Infield",29
"106","38","Miguel Castro","P","1994-12-24","Dominican Republic","R","R","Leones de Yucatan","Pitchers",31
"107","9","Norberto Obeso","OF","1995-07-09","Mexico","L","R","Leones de Yucatan","Outfield",30
"108","61","Reivaj Garcia","3B","2001-08-12","Mexico","S","R","Leones de Yucatan","Infield",24
"109","68","Ricardo Rodríguez","P","1992-08-31","Venezuela","R","R","Leones de Yucatan","Pitchers",33
"110","28","Ronaldo Hernández","C","1997-11-11","Colombia","R","R","Leones de Yucatan","Catchers",28
"111","0","Ronnie Williams","P","1996-01-06","USA","R","R","Leones de Yucatan","Pitchers",30
"112","49","Tommy Doyle","P","1996-05-01","USA","R","R","Leones de Yucatan","Pitchers",29
"113","36","Wynton Bernard","OF","1990-09-24","USA","R","R","Leones de Yucatan","Outfield",35
"114","24","Xorge Carrillo","C","1989-04-12","Mexico","R","R","Leones de Yucatan","Catchers",37
"115","33","Yadir Drake","IF","1990-04-12","Cuba","R","R","Leones de Yucatan","Infield",36
"116","25","Yoanner Negrin","P","1984-04-29","Cuba","R","R","Leones de Yucatan","Pitchers",41
"117","18","Alberth Martinez","OF","1991-01-23","Venezuela","R","R","Saraperos de Saltillo","Outfield",35
"118","75","Alex Claudio","P","1992-01-31","Puerto Rico","L","L","Saraperos de Saltillo","Pitchers",34
"119","9","Alex D. Mejia","1B","1991-01-18","USA","R","R","Saraperos de Saltillo","Infield",35
"120","92","Brandon Villarreal","OF","1994-11-25","Mexico","R","R","Saraperos de Saltillo","Outfield",31
"121","11","Cam Alldred","P","1996-07-25","USA","L","L","Saraperos de Saltillo","Pitchers",29
"122","35","Cameron Cotter","P","1998-12-17","USA","R","R","Saraperos de Saltillo","Pitchers",27
"123","33","Chris Carter","1B","1986-12-18","USA","R","R","Saraperos de Saltillo","Infield",39
"124","22","Christian Villanueva","3B","1991-06-19","Mexico","R","R","Saraperos de Saltillo","Infield",34
"125","48","Cole Roederer","CF","1999-09-24","USA","L","L","Saraperos de Saltillo","Outfield",26
"126","67","Daniel Sanchez","C","1992-12-16","Mexico","R","R","Saraperos de Saltillo","Catchers",33
"127","46","Deolis Guerra","P","1989-04-17","Venezuela","R","R","Saraperos de Saltillo","Pitchers",37
"128","6","Drew Stankiewicz","2B","1993-06-18","USA","S","R","Saraperos de Saltillo","Infield",32
"129","96","Emerson Martinez","P","1995-01-11","Venezuela","R","R","Saraperos de Saltillo","Pitchers",31
"130","87","Enderson Franco","P","1992-12-29","Venezuela","R","R","Saraperos de Saltillo","Pitchers",33
"131","8","Fernando Villegas","OF","1998-06-28","Mexico","R","R","Saraperos de Saltillo","Outfield",27
"132","3","Gio Brusa","1B","1993-07-26","USA","S","R","Saraperos de Saltillo","Infield",32
"133","77","Ivan Izaguirre","P","2001-09-16","Mexico","R","R","Saraperos de Saltillo","Pitchers",24
"134","49","Jesus Cruz","P","1995-04-15","Mexico","R","R","Saraperos de Saltillo","Pitchers",31
"135","81","Jorge Morales","C","2001-05-03","Mexico","R","R","Saraperos de Saltillo","Catchers",24
"136","13","Jose Martinez","SS","1996-08-15","Venezuela","S","R","Saraperos de Saltillo","Infield",29
"137","26","Julio E. Rodriguez","C","1997-06-11","Dominican Republic","R","R","Saraperos de Saltillo","Catchers",28
"138","54","Kazuki Yabuta","P","1992-08-07","Japan","R","R","Saraperos de Saltillo","Pitchers",33
"139","65","Luis Frías","P","1998-05-23","Dominican Republic","R","R","Saraperos de Saltillo","Pitchers",27
"140","0","Manny Barreda","P","1988-10-08","USA","R","R","Saraperos de Saltillo","Pitchers",37
"141","50","Mario Meza","P","1990-11-24","Mexico","R","R","Saraperos de Saltillo","Pitchers",35
"142","24","Patrick Mazeika","C","1993-10-14","USA","L","R","Saraperos de Saltillo","Catchers",32
"143","4","Ramon Rios","2B","1988-03-04","Mexico","R","R","Saraperos de Saltillo","Infield",38
"144","14","Samuel Zazueta","P","1996-11-21","Mexico","L","L","Saraperos de Saltillo","Pitchers",29
"145","83","Sergio Garcia-Repper","P","2004-04-15","Mexico","R","R","Saraperos de Saltillo","Pitchers",22
"146","68","Shoh Ishikawa","P","1999-12-14","Japan","R","R","Saraperos de Saltillo","Pitchers",26
"147","72","Zach Mort","P","1997-05-22","USA","R","R","Saraperos de Saltillo","Pitchers",28
"148","46","Antonio Santos","P","1996-10-06","Dominican Republic","R","R","Pericos de Puebla","Pitchers",29
"149","47","Axel Sauceda","P","2001-05-19","Mexico","R","R","Pericos de Puebla","Pitchers",24
"150","66","Brayan Quintero","2B","1999-02-19","Mexico","R","R","Pericos de Puebla","Infield",27
"151","49","César Vargas","P","1991-12-30","Mexico","R","R","Pericos de Puebla","Pitchers",34
"152","7","Ciro Norzagaray","SS","1994-08-17","Mexico","R","R","Pericos de Puebla","Infield",31
"153","13","Cristhian Adames","SS","1991-07-26","Dominican Republic","S","R","Pericos de Puebla","Infield",34
"154","77","Danny Ortiz","OF","1990-01-05","Puerto Rico","L","L","Pericos de Puebla","Outfield",36
"155","16","David Rodríguez","1B","1996-02-25","Venezuela","R","R","Pericos de Puebla","Infield",30
"156","52","Edgar Rodriguez","P","1988-01-29","Mexico","R","R","Pericos de Puebla","Pitchers",38
"157","57","Edgar Torres","P","1996-04-09","Mexico","L","L","Pericos de Puebla","Pitchers",30
"158","35","Emailin Montilla","P","1995-10-02","Dominican Republic","L","L","Pericos de Puebla","Pitchers",30
"159","27","Estamy Urena","2B","1999-05-27","Dominican Republic","R","R","Pericos de Puebla","Infield",26
"160","38","Fernando Lozano","P","2000-01-11","Mexico","R","R","Pericos de Puebla","Pitchers",26
"161","67","Francis Peguero","P","1997-08-11","Dominican Republic","R","R","Pericos de Puebla","Pitchers",28
"162","44","Gerardo Castaneda","C","1999-05-12","Mexico","S","R","Pericos de Puebla","Catchers",26
"163","17","Herlis Rodriguez","OF","1994-06-10","Venezuela","L","L","Pericos de Puebla","Outfield",31
"164","26","Hunter McMahon","P","1998-04-09","USA","R","R","Pericos de Puebla","Pitchers",28
"165","76","Ivan Salas","P","1990-12-30","Mexico","L","L","Pericos de Puebla","Pitchers",35
"166","56","Jose E. Martinez","P","1999-04-23","Venezuela","R","R","Pericos de Puebla","Pitchers",26
"167","15","Juan Kirk","C","1996-06-15","Mexico","R","R","Pericos de Puebla","Catchers",29
"168","32","Liarvis Breto","P","1993-04-10","Venezuela","L","L","Pericos de Puebla","Pitchers",33
"169","8","Lorenzo Cedrola","CF","1998-01-12","Venezuela","R","R","Pericos de Puebla","Outfield",28
"170","6","Mark Simon","P","1995-08-04","USA","R","R","Pericos de Puebla","Pitchers",30
"171","55","Michael De La Cruz","C","1993-05-15","Dominican Republic","S","R","Pericos de Puebla","Catchers",32
"172","43","Miguel Guzman","IF","1995-08-23","Mexico","R","R","Pericos de Puebla","Infield",30
"173","31","Moisés Gómez","OF","1998-08-27","Venezuela","R","R","Pericos de Puebla","Outfield",27
"174","28","Patrick Wicklander","P","1999-12-31","USA","R","L","Pericos de Puebla","Pitchers",26
"175","39","Rogelio Cobos","OF","1999-07-13","Mexico","L","R","Pericos de Puebla","Outfield",26
"176","12","Samar Leyva","SS","1994-09-20","Mexico","R","R","Pericos de Puebla","Infield",31
"177","72","Tiago Da Silva","P","1985-03-28","Brazil","R","R","Pericos de Puebla","Pitchers",41
"178","53","Vladimir Gutierrez","P","1995-09-18","Cuba","R","R","Pericos de Puebla","Pitchers",30
"179","74","Yoimer Camacho","P","1990-02-24","Venezuela","R","R","Pericos de Puebla","Pitchers",36
"180","27","Addison Russell","SS","1994-01-23","USA","R","R","Piratas de Campeche","Infield",32
"181","4","Andrew Stevenson","CF","1994-06-01","USA","L","L","Piratas de Campeche","Outfield",31
"182","3","Andrew Young","2B","1994-05-10","USA","R","R","Piratas de Campeche","Infield",31
"183","30","Bernardo Flores Jr.","P","1995-08-23","USA","L","L","Piratas de Campeche","Pitchers",30
"184","12","Bobby Milacki","P","1996-11-06","USA","R","R","Piratas de Campeche","Pitchers",29
"185","24","Cal Mitchell","LF","1999-03-08","USA","L","L","Piratas de Campeche","Outfield",27
"186","13","Christian Ibarra","3B","1992-09-10","USA","R","R","Piratas de Campeche","Infield",33
"187","96","Connor Hollis","2B","1994-11-18","USA","R","R","Piratas de Campeche","Infield",31
"188","11","Dan Kubiuk","P","1995-09-30","USA","R","R","Piratas de Campeche","Pitchers",30
"189","71","Darrell Thompson","P","1994-04-27","USA","L","L","Piratas de Campeche","Pitchers",31
"190","93","Domingo Acevedo","P","1994-03-06","Dominican Republic","R","R","Piratas de Campeche","Pitchers",32
"191","31","Emmanuel Avila","3B","1988-11-26","Mexico","L","R","Piratas de Campeche","Infield",37
"192","45","Felix Perez","1B","1984-11-14","Cuba","L","L","Piratas de Campeche","Infield",41
"193","18","Fernando Perez","2B","1993-09-13","Mexico","L","R","Piratas de Campeche","Infield",32
"194","36","Jesus Fabela","CF","1994-12-07","Mexico","R","R","Piratas de Campeche","Outfield",31
"195","65","Jesus Higuera","2B","2006-10-27","Mexico","R","R","Piratas de Campeche","Infield",19
"196","77","Joe Record","P","1995-01-12","USA","R","R","Piratas de Campeche","Pitchers",31
"197","17","Jose Isidro Marquez","P","1994-06-17","Mexico","R","R","Piratas de Campeche","Pitchers",31
"198","91","Miller Hogan","P","1996-07-18","USA","R","R","Piratas de Campeche","Pitchers",29
"199","70","Onelki Garcia","P","1989-08-02","Cuba","L","L","Piratas de Campeche","Pitchers",36
"200","64","Pablo Tellez","P","1999-08-26","Mexico","R","R","Piratas de Campeche","Pitchers",26
"201","62","Phil Clarke","C","1998-03-24","USA","L","R","Piratas de Campeche","Catchers",28
"202","0","R.J. Martinez","P","1998-09-14","USA","L","L","Piratas de Campeche","Pitchers",27
"203","75","Raul Torres","C","2004-02-19","Mexico","R","R","Piratas de Campeche","Catchers",22
"204","2","Roberto Urias","IF","2005-06-30","Mexico","R","R","Piratas de Campeche","Infield",20
"205","32","Ryan Garcia","P","1998-01-24","USA","R","R","Piratas de Campeche","Pitchers",28
"206","44","Ryder Yakel","P","1997-04-09","USA","R","R","Piratas de Campeche","Pitchers",29
"207","9","Terrin Vavra","2B","1997-05-12","USA","L","R","Piratas de Campeche","Infield",28
"208","7","Tyler Thomas","P","1995-12-22","USA","R","L","Piratas de Campeche","Pitchers",30
"209","47","Yordi Martinez","OF","2002-05-29","Mexico","L","L","Piratas de Campeche","Outfield",23
"210","51","Zac Rosscup","P","1988-06-09","USA","R","L","Piratas de Campeche","Pitchers",37
"211","19","Adrian Almeida","P","1995-02-25","Venezuela","L","L","Rieleros de Aguascalientes","Pitchers",31
"212","27","Amilcar Gomez","OF","1995-01-27","Mexico","S","R","Rieleros de Aguascalientes","Outfield",31
"213","18","Andretty Cordero","1B","1997-05-03","Dominican Republic","R","R","Rieleros de Aguascalientes","Infield",28
"214","15","Angel Camacho","3B","2000-10-12","Mexico","R","R","Rieleros de Aguascalientes","Infield",25
"215","30","Angel Reyes","OF","1995-05-06","Venezuela","R","R","Rieleros de Aguascalientes","Outfield",30
"216","85","Angel Rondón","P","1997-12-01","Dominican Republic","R","R","Rieleros de Aguascalientes","Pitchers",28
"217","63","Calvin Estrada","OF","1997-05-18","USA","R","R","Rieleros de Aguascalientes","Outfield",28
"218","50","Cam Robinson","P","1999-09-06","USA","R","R","Rieleros de Aguascalientes","Pitchers",26
"219","1","Carlos Mendivil","C","1993-08-29","Mexico","L","R","Rieleros de Aguascalientes","Catchers",32
"220","38","Deylen Miley","P","1998-01-25","USA","R","R","Rieleros de Aguascalientes","Pitchers",28
"221","13","Eduardo Torrealba","3B","1999-03-26","Venezuela","R","R","Rieleros de Aguascalientes","Infield",27
"222","3","Fernando Villalobos","C","2002-06-24","Mexico","L","R","Rieleros de Aguascalientes","Catchers",23
"223","35","Greg Duncan","P","1998-07-13",NA,"R","R","Rieleros de Aguascalientes","Pitchers",27
"224","39","Harold Chirino","P","1998-01-12","Venezuela","R","R","Rieleros de Aguascalientes","Pitchers",28
"225","24","Jimmy Burnette","P","1998-10-19","USA","L","L","Rieleros de Aguascalientes","Pitchers",27
"226","37","Jonathan Vargas","P","1989-05-29","Venezuela","L","L","Rieleros de Aguascalientes","Pitchers",36
"227","25","Jose Carlos Medina","P","1996-08-25","Mexico","L","L","Rieleros de Aguascalientes","Pitchers",29
"228","9","José Rondon","SS","1994-03-03","Venezuela","R","R","Rieleros de Aguascalientes","Infield",32
"229","40","Leonel Valera","SS","1999-07-09","Venezuela","R","R","Rieleros de Aguascalientes","Infield",26
"230","32","Maikel Serrano","OF","1993-03-31","CUB","R","R","Rieleros de Aguascalientes","Outfield",33
"231","45","Mario Garcia","P","1998-12-27","Mexico","R","R","Rieleros de Aguascalientes","Pitchers",27
"232","29","Nick Trogrlic-Iverson","P","1997-10-03","Canada","R","R","Rieleros de Aguascalientes","Pitchers",28
"233","5","Oscar Campos","C","1996-12-08","Venezuela","R","R","Rieleros de Aguascalientes","Catchers",29
"234","48","Oscar Cuello","P","2002-07-29","USA","L","L","Rieleros de Aguascalientes","Pitchers",23
"235","49","Oscar De La Cruz","P","1995-03-04","Dominican Republic","R","R","Rieleros de Aguascalientes","Pitchers",31
"236","81","Porfirio Guerrero","P","2003-11-29","Mexico","R","R","Rieleros de Aguascalientes","Pitchers",22
"237","58","Samuel Reyes","P","1996-03-13","Dominican Republic","R","R","Rieleros de Aguascalientes","Pitchers",30
"238","47","Sergio Perez","LF","1989-10-27","Mexico","L","R","Rieleros de Aguascalientes","Outfield",36
"239","7","Símon Muzziotti","CF","1998-12-27","Venezuela","L","L","Rieleros de Aguascalientes","Outfield",27
"240","62","Yosshel Hurtado","P","1996-09-16","Mexico","R","R","Rieleros de Aguascalientes","Pitchers",29
"241","36","Carlos Pérez","C","1996-09-10","Venezuela","R","R","Diablos Rojos del Mexico","Catchers",29
"242","8","Carlos Sepulveda","2B","1996-08-27","Mexico","L","R","Diablos Rojos del Mexico","Infield",29
"243","18","Francisco Mejía","C","1995-10-27","Dominican Republic","S","R","Diablos Rojos del Mexico","Catchers",30
"244","27","Franklin Barreto","OF","1996-02-27","Venezuela","R","R","Diablos Rojos del Mexico","Outfield",30
"245","70","Gabriel Gutierrez","C","1983-11-24","Mexico","R","R","Diablos Rojos del Mexico","Catchers",42
"246","51","Gerardo Reyes","P","1993-05-13","Mexico","R","R","Diablos Rojos del Mexico","Pitchers",32
"247","9","Humberto Castellanos","P","1998-04-03","Mexico","R","R","Diablos Rojos del Mexico","Pitchers",28
"248","54","J.C. Mejía","P","1996-08-26","Dominican Republic","R","R","Diablos Rojos del Mexico","Pitchers",29
"249","60","James Kaprielian","P","1994-03-02","USA","R","R","Diablos Rojos del Mexico","Pitchers",32
"250","76","Jesus Villalobos","IF","2007-04-12","Mexico","R","R","Diablos Rojos del Mexico","Infield",19
"251","43","Jimmy Yacabonis","P","1992-03-21","USA","R","R","Diablos Rojos del Mexico","Pitchers",34
"252","24","Jon Singleton","1B","1991-09-18","USA","L","L","Diablos Rojos del Mexico","Infield",34
"253","59","Jordy Arias","P","2005-08-04","Mexico","R","R","Diablos Rojos del Mexico","Pitchers",20
"254","84","Jorge Monroy","P","2002-03-21","Mexico","R","R","Diablos Rojos del Mexico","Pitchers",24
"255","46","José Marmolejos","OF","1993-01-02","USA","L","L","Diablos Rojos del Mexico","Outfield",33
"256","47","Juan Carlos Gamboa","SS","1991-04-18","Mexico","L","R","Diablos Rojos del Mexico","Infield",34
"257","93","Juan Pablo Lopez","P","1999-02-17","Mexico","L","L","Diablos Rojos del Mexico","Pitchers",27
"258","31","Julian Ornelas","OF","1996-12-28","Mexico","L","R","Diablos Rojos del Mexico","Outfield",29
"259","13","Justin Courtney","P","1996-07-24","USA","R","R","Diablos Rojos del Mexico","Pitchers",29
"260","69","Luis F. Castillo","P","1995-03-10","Dominican Republic","R","R","Diablos Rojos del Mexico","Pitchers",31
"261","38","Maikel Franco","3B","1992-08-26","DOM","R","R","Diablos Rojos del Mexico","Infield",33
"262","61","Moises Gutierrez","3B","1994-11-19","Mexico","S","R","Diablos Rojos del Mexico","Infield",31
"263","53","Nick Vespi","P","1995-10-10","USA","L","L","Diablos Rojos del Mexico","Pitchers",30
"264","92","Oscar Rojas","P","1999-05-05","Mexico","R","R","Diablos Rojos del Mexico","Pitchers",26
"265","23","Ramón Flores","OF","1992-03-26","Venezuela","L","L","Diablos Rojos del Mexico","Outfield",34
"266","77","Ricardo Pinto","P","1994-01-20","Venezuela","R","R","Diablos Rojos del Mexico","Pitchers",32
"267","22","Robinson Canó","2B","1982-10-22","Dominican Republic","L","R","Diablos Rojos del Mexico","Infield",43
"268","68","Sebastian Enriquez","OF","2008-02-15","USA","R","R","Diablos Rojos del Mexico","Outfield",18
"269","19","Shane Greene","P","1988-11-17","USA","R","R","Diablos Rojos del Mexico","Pitchers",37
"270","66","Stephen Nogosek","P","1995-01-11","USA","R","R","Diablos Rojos del Mexico","Pitchers",31
"271","20","Tomohiro Anraku","P","1996-11-04","Japan","L","R","Diablos Rojos del Mexico","Pitchers",29
